geometry,motion,azimuth_noise_std_deg,elevation_noise_std_deg,delivery_schedule,method,independent_sequence_count,successful_initialization_count,successful_initialization_fraction,successful_initialization_fraction_ci95_low,successful_initialization_fraction_ci95_high,final_valid_count,final_failure_fraction,final_failure_reason_counts,mean_time_to_first_estimate_s,final_position_rmse_m,final_position_p95_m,final_velocity_rmse_mps,final_velocity_p95_mps,final_state_95_coverage_fraction,final_state_95_coverage_ci95_low,final_state_95_coverage_ci95_high,mean_sequence_measurement_nis,mean_sequence_nis_95_coverage_fraction,median_total_runtime_s,mean_update_runtime_s,maximum_covariance_symmetry_error,minimum_covariance_eigenvalue,coverage_interval_unit,temporal_nis_nees_are_dependent
informative,uniform_oblique,0.03,0.05,ordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.08061149027606691,0.0927099675963395,0.027349833209024243,0.03233548077614179,1.0,0.5101091635454027,1.0,3.207328286769452,0.8055555555555555,0.04577994999817747,0.0005266611113054549,0.0,2.8049715874884815e-05,whole_sequence_final_outcome,True
informative,uniform_oblique,0.03,0.05,ordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.30800000000000005,0.08063270803117908,0.09275125995912009,0.02735151196994963,0.03230214188814126,1.0,0.5101091635454027,1.0,nan,nan,0.7174330499983625,nan,0.0,2.803588440543177e-05,whole_sequence_final_outcome,True
informative,uniform_oblique,0.03,0.05,ordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.4016340704529318,0.5622907815409796,0.12118631495383315,0.16489690519075095,1.0,0.5101091635454027,1.0,nan,nan,0.03946230000110518,nan,1.734723475976807e-18,3.7012606373202264e-05,whole_sequence_final_outcome,True
informative,uniform_oblique,0.03,0.05,ordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.507999999999999,0.08063270803117908,0.09275125995912009,0.02735151196994963,0.03230214188814126,1.0,0.5101091635454027,1.0,nan,nan,0.0816959499989025,nan,0.0,2.803588440543177e-05,whole_sequence_final_outcome,True
informative,uniform_oblique,0.03,0.05,reordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.9942586145559767,0.06722128485871443,0.0827155125019853,0.02691841140477337,0.03384398292371786,1.0,0.5101091635454027,1.0,1.631032487554064,0.9722222222222222,0.044048299996575224,0.0005427249999330443,0.0,2.1366617800798612e-05,whole_sequence_final_outcome,True
informative,uniform_oblique,0.03,0.05,reordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.27912175573093856,0.06721561963737265,0.08269065990666113,0.026918325648082907,0.033831237346590465,1.0,0.5101091635454027,1.0,nan,nan,0.7312644499997987,nan,0.0,2.1363382970894138e-05,whole_sequence_final_outcome,True
informative,uniform_oblique,0.03,0.05,reordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.9942586145559767,0.2844526051187776,0.4043460730427014,0.083229735608792,0.11646542415869816,1.0,0.5101091635454027,1.0,nan,nan,0.03731500000139931,nan,3.469446951953614e-18,2.9465087947140086e-05,whole_sequence_final_outcome,True
informative,uniform_oblique,0.03,0.05,reordered,offline_full_record_noncausal,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},3.534154436158129,0.06721561963737265,0.08269065990666113,0.026918325648082907,0.033831237346590465,1.0,0.5101091635454027,1.0,nan,nan,0.08209869999882358,nan,0.0,2.1363382970894138e-05,whole_sequence_final_outcome,True
informative,uniform_oblique,0.1,0.18,ordered,retarded_ekf,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,0.12423548019594668,0.14632162380951583,0.04629880342057667,0.06438229214253437,1.0,0.5101091635454027,1.0,1.5100409513806692,1.0,0.03941370000029565,0.0005602749999727368,0.0,0.0003045106787340423,whole_sequence_final_outcome,True
informative,uniform_oblique,0.1,0.18,ordered,causal_prefix_batch,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},0.30800000000000005,0.12409954791278874,0.14586721363881236,0.04623528619299965,0.06421745233951325,1.0,0.5101091635454027,1.0,nan,nan,0.7091301499949623,nan,0.0,0.00030494772702741756,whole_sequence_final_outcome,True
informative,uniform_oblique,0.1,0.18,ordered,initial_batch_no_updates,4,4,1.0,0.5101091635454027,1.0,4,0.0,{},1.108,1.2929356224727002,1.973406591645011,0.39347459197995166,0.59139911352711,1.0,0.5101091635454027,1.0,nan,nan,0.03300729999500618,nan,2.7755575615628914e-17,0.0004029773144820728,whole_sequence_final_outcome,True
