geometry,motion,angular_noise_std_deg,delivery_schedule,mode,prefix_index,row_type,base_seed,seed_scheme,processing_time_s,independent_sequence_count,dependent_prefix_count_per_sequence,successful_sequence_count,successful_fraction,failure_reason_counts,position_rmse_m,position_median_m,position_p95_m,velocity_rmse_mps,velocity_median_mps,velocity_p95_mps,position_bias_e_m,position_bias_n_m,position_bias_u_m,velocity_bias_e_mps,velocity_bias_n_mps,velocity_bias_u_mps,mean_used_measurement_count,median_condition_number,median_runtime_s,maximum_constraint_residual_rad,maximum_scaled_kkt_residual
wide,oblique_slow,0.2,reordered_dropout,causal_prefix,0,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1.5,4,5,2,0.5,"{""insufficient_measurements"": 2}",1.599552944428523,1.5885743940240395,1.7569514218862217,2.2534768775297724,2.2478718891047658,2.3908274985241342,-0.7959401851213492,-0.4106851832001155,0.1963362157284081,1.1132868214529785,0.6788680655223533,-0.16613331502700168,2.5,73999.17034271802,0.007098899979609996,0.0,0.0
wide,oblique_slow,0.2,reordered_dropout,causal_prefix,1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",2.5,4,5,4,1.0,{},0.7715296059412379,0.6684217884722496,1.0605740054329102,0.7075748815000396,0.5900590450484082,1.0048348326458922,0.018429020755538872,0.43307996242945457,0.372130773703244,0.035622625497374605,-0.33672387742896026,-0.34851842978963277,6.25,1331.4245899476225,0.03166759997839108,0.0,8.93448132620805e-09
wide,oblique_slow,0.2,reordered_dropout,causal_prefix,2,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3.5,4,5,4,1.0,{},0.3698749046437544,0.3680289702933903,0.48923640679286035,0.22247057670964726,0.2322735953555191,0.2736833250296019,-0.08302823725700748,0.20089888265752442,0.12216821167492853,0.10362215171524225,-0.09700667307939537,-0.09628628850424303,9.25,556.483338972449,0.04557004995876923,0.0,1.651305566385238e-08
wide,oblique_slow,0.2,reordered_dropout,causal_prefix,3,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",4.5,4,5,4,1.0,{},0.27519503026347986,0.250779558767216,0.3664177669469375,0.11418354673626938,0.1137997016033902,0.14671812930935757,-0.00890200424012022,0.16397505392713718,0.04036682103198075,0.0373207563708271,-0.05910298051803542,-0.02630400945019043,13.0,225.5707188529803,0.06243750004796311,0.0,2.318902392729305e-09
wide,oblique_slow,0.2,reordered_dropout,causal_prefix,4,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",7.0,4,5,4,1.0,{},0.2583315506816811,0.2427614067870874,0.32933154208369586,0.09521881088058554,0.0949391677606636,0.12137490925460487,0.08056500332903482,0.13088857763019313,0.06122361773760154,-0.014971026973187085,-0.036513739572338055,-0.03357218069972884,17.0,137.81431887288483,0.08782605000305921,0.0,7.248763595569769e-09
wide,oblique_fast,0.05,ordered,offline_full_record,-1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",5.019999999999999,4,5,4,1.0,{},0.07552834518455191,0.0764443456563064,0.08595047526543298,0.028512688466430607,0.025833628654054107,0.03844787550581663,-0.000709283803889349,0.007390039549239447,-0.02932705778118283,-0.008987830341875558,-0.0003939951985540979,0.007481317048243896,19.0,124.23429151229078,0.12137439998332411,0.0,1.2515368565115463e-07
wide,oblique_fast,0.05,ordered,causal_prefix,0,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",1.5,4,5,4,1.0,{},0.3765448938049062,0.36269294700889987,0.4741714450044912,0.42260618129518185,0.4016430298949827,0.5409553756871295,-0.044410308303096,-0.02252189877867039,-0.13182173108358164,0.05321464847146684,0.030722443357886542,0.12459107669898617,4.0,17547.53345452939,0.026003749982919544,0.0,6.552887993897918e-08
wide,oblique_fast,0.05,ordered,causal_prefix,1,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",2.5,4,5,4,1.0,{},0.12648251210296813,0.09277807312537692,0.18149207732180855,0.09448639525069004,0.07242682795373384,0.13816419734888521,0.021157668269497165,0.010303489865391313,-0.04758509135180411,-0.02516836898403607,-0.0013999411291178987,0.021282591132776085,8.0,614.9976471669241,0.03622099995845929,0.0,6.322951994620615e-09
wide,oblique_fast,0.05,ordered,causal_prefix,2,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",3.5,4,5,4,1.0,{},0.10071626926560252,0.09061401183309717,0.13560824183793935,0.05371445662794134,0.0475678567977602,0.07700143334073051,0.01160068801048375,0.00877944552096821,-0.04269045078824085,-0.016954358071676,-0.0012590769386522371,0.017690623952340945,12.0,256.46273409504107,0.06721420004032552,0.0,2.1480931612971016e-08
wide,oblique_fast,0.05,ordered,causal_prefix,3,aggregate,20260903,"SeedSequence([base_seed,configuration_index,sequence_index,stream_id])",4.5,4,5,4,1.0,{},0.07449677683958197,0.07601335552207844,0.08701337809739977,0.031195845729554875,0.032227509495547695,0.03737736717568181,-0.004519336840788313,0.011488387221453067,-0.031413458449900844,-0.007004190517645448,-0.0024000953156628757,0.008530343817124475,16.0,156.60354312867122,0.10092444997280836,0.0,6.681962831719373e-08
