split,sequence_count,dependent_frame_count,estimator_variant,geometry,snr_db,signal_model,trajectory_kind,quality_metric,quality_sample_count,quality_mean,quality_p50,spearman_correlation_with_absolute_angular_error,pearson_correlation_with_absolute_angular_error,sequence_seeds_json,seed_scope,quality_score_probability_claimed,quality_metric_uses_truth_online,offline_error_correlation_uses_truth,overlapping_frames_are_statistically_dependent,dependent_frames_are_independent_trials
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_used_spectral_energy,60,13447638.320372917,13330484.79344451,-0.006001667129758267,-0.09552292281978125,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,srp_mean_spectral_energy_fraction,60,0.8137608052510503,0.814293751069523,-0.18321756043345377,-0.10961069842478147,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,equal_weight_srp_phat,tetrahedral,-6.0,random_broadband,transverse,boundary_hit,60,0.0,0.0,,,"[1668507054, 3043376246, 1247929382]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_mean_peak_ratio,60,1.8944897084483032,1.8436090980511493,-0.2195054181717144,-0.24320818200053088,"[3433217945, 1226985717, 1831237929]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_minimum_peak_ratio,60,1.6979074403147247,1.6878924357336738,-0.09836065573770494,-0.13994510937780485,"[3433217945, 1226985717, 1831237929]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_mean_peak_curvature,60,0.008532043613254258,0.008452379725717302,-0.3774381772714644,-0.3443056903589955,"[3433217945, 1226985717, 1831237929]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_total_spectral_energy,60,6656163.264795566,6600263.398241712,-0.24606835232008892,-0.16784313524823077,"[3433217945, 1226985717, 1831237929]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_boundary_count,60,0.0,0.0,,,"[3433217945, 1226985717, 1831237929]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
calibration,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_valid_pair_count,60,3.0,3.0,,,"[3433217945, 1226985717, 1831237929]",s7a_calibration_independent_continuous_sequences,False,False,True,True,False
evaluation,3,60,reference_3_gcc_wls,tetrahedral,-6.0,random_broadband,piecewise,gcc_mean_peak_ratio,60,1.9438664794198603,1.9142522809212061,-0.04306751875520979,-0.015564872968406968,"[3022702309, 4126457522, 2989946742]",s7a_evaluation_independent_continuous_sequences,False,False,True,True,False
