study_type,signal_model,split,geometry,direction,azimuth_deg,elevation_deg,SNR,snr_db,frame_length,pair,calibration_trial_count,evaluation_trial_count,seed,estimator_variant,propagation_model,distance_m,true_tdoa_s,true_tdoa_us,bias_s,bias_us,standard_deviation_us,rmse_us,median_absolute_error_us,p95_absolute_error_us,catastrophic_outlier_fraction_gt_1_sample,mean_peak_value,mean_peak_to_second_peak_ratio,median_peak_to_second_peak_ratio,mean_peak_curvature,mean_used_spectral_energy,mean_spectral_energy_fraction,boundary_hit_fraction,invalid_fraction
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,1-3,1000,2000,3916886306,gcc_phat_pair,plane,20.0,-1.9304427175766277e-20,-1.9304427175766277e-14,2.2794924376893392e-07,0.2279492437689339,128.91431759625735,128.88228657005504,10.734532001409427,369.06106228885415,0.2595,0.02052311058271465,1.4194795518246819,1.4037362797757673,0.0012226786877166478,246999.75909119,0.8081432331683388,0.004,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-10.0,-10.0,2048,2-3,1000,2000,3916886306,gcc_phat_pair,plane,20.0,-0.00025248554046193545,-252.48554046193544,2.353748252336347e-05,23.537482523363472,114.79867033288707,117.15868907759862,11.11644229011616,231.60824813764492,0.26,0.020045894015363146,1.4197284631899356,1.3936804736405577,0.0011774766164120323,243106.09744752996,0.8075360242324323,0.004,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,0-1,1000,2000,2028066019,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-6.020661840057479e-06,-6.020661840057479,51.88309280470871,52.20547703694852,7.049357976850982,26.338928391643208,0.085,0.0245788301291204,1.5268229951059669,1.5117849863988178,0.0014087119784125242,177069.31618528013,0.822786227778048,0.001,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,0-2,1000,2000,2028066019,gcc_phat_pair,plane,20.0,0.0005049710809238709,504.9710809238709,-1.8627485568494084e-05,-18.627485568494084,124.46012810354048,125.78480187473609,7.61794565523697,33.30599601359692,0.118,0.0242826464306089,1.4937605288424967,1.470287304913986,0.0013640002663032461,174425.1274040425,0.8221078728672051,0.003,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,0-3,1000,2000,2028066019,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-6.5069468103538985e-06,-6.506946810353899,66.96121946457448,67.24330051435234,7.315060077420422,30.28607098209712,0.092,0.024165795538137497,1.5104899881433047,1.4811168571336655,0.0013708969269193272,177056.78592085818,0.8227829624281202,0.002,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,1-2,1000,2000,2028066019,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-7.535032903549703e-06,-7.535032903549703,64.55018422763652,64.95641830023858,6.992102880445364,28.94053443578596,0.087,0.024303984029471308,1.5188167636090197,1.504443688404126,0.001388570714023194,173957.4423314913,0.8217919675854137,0.002,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,1-3,1000,2000,2028066019,gcc_phat_pair,plane,20.0,-1.9304427175766277e-20,-1.9304427175766277e-14,2.109112711279038e-06,2.109112711279038,67.73421556490536,67.73318529837316,7.658314602754872,33.8853811570346,0.106,0.024150654066884315,1.5029229185111266,1.4880031345591216,0.0013747797163472012,176658.46336361076,0.8228666081691929,0.0,0.0
fine_snr,deterministic_multisine,calibration,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,2-3,1000,2000,2028066019,gcc_phat_pair,plane,20.0,-0.00025248554046193545,-252.48554046193544,6.618709058152236e-06,6.618709058152236,60.36627127648369,60.69802246131797,7.139221297442529,30.788769000957807,0.087,0.024188485908216314,1.5147487728740439,1.5047638537149126,0.0013698266913699242,173904.52072803414,0.8216371014099232,0.001,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,0-1,1000,2000,686625521,gcc_phat_pair,plane,20.0,0.00025248554046193545,252.48554046193544,-5.8381380534948645e-06,-5.838138053494864,55.48057294881028,55.773100897050355,7.528870852186532,30.682900149398808,0.099,0.02426866026929149,1.5095273170470123,1.490967140721717,0.0013636287706796936,176937.1973948896,0.8225399925168209,0.001,0.0
fine_snr,deterministic_multisine,evaluation,square,az45_el30,45.0,30.0,-8.0,-8.0,2048,0-2,1000,2000,686625521,gcc_phat_pair,plane,20.0,0.0005049710809238709,504.9710809238709,-1.8344996070762414e-05,-18.344996070762413,116.27255617509633,117.68214200407584,7.448804326251829,33.29825472111238,0.107,0.02413877405112654,1.5001725718722974,1.4734882066080668,0.0013833959481092573,174347.95494194402,0.8215763083070711,0.0035,0.0
