record_type,geometry,distance_m,max_plane_error_s,max_plane_error_us,max_second_order_error_s,max_second_order_error_us,sample_error,worst_azimuth_deg,worst_elevation_deg,worst_pair,second_order_worst_azimuth_deg,second_order_worst_elevation_deg,second_order_worst_pair,sampling_rate_hz,angular_step_deg,max_elevation_deg,phase_error_2000hz_rad,phase_error_4000hz_rad,phase_error_8000hz_rad,phase_error_12000hz_rad,criterion,maximum_frequency_hz,limit_value,limit_unit,target_error_s,target_error_us,minimum_distance_m,coarse_boundary_distance_m,achieved_error_s,achieved_error_us,coarse_max_error,refined_max_error,relative_grid_difference,refined_worst_azimuth_deg,refined_worst_elevation_deg,refined_worst_pair,continuous_refinement_used,continuous_max_error,continuous_worst_azimuth_deg,continuous_worst_elevation_deg,continuous_worst_pair,coarse_search_iterations,refined_search_iterations,refined_angular_step_deg
distance_sweep,square,100.0,1.4577255831447382e-07,0.14577255831447383,1.1221584772513893e-10,0.00011221584772513893,0.0069970827990947435,225.0,0.0,2-3,8.5,14.0,1-3,48000.0,0.5,80.0,0.0018318319931829626,0.0036636639863659253,0.007327327972731851,0.010990991959097775,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,square,200.0,7.28862927914316e-08,0.07288629279143159,2.8054114586950618e-11,2.8054114586950618e-05,0.0034985420539887166,225.0,0.0,2-3,0.5,36.0,0-2,48000.0,0.5,80.0,0.0009159161679238247,0.0018318323358476494,0.003663664671695299,0.005495497007542948,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,square,500.0,2.9154518700537802e-08,0.029154518700537802,4.489075777769358e-12,4.489075777769358e-06,0.0013994168976258145,225.0,0.0,2-3,9.0,10.5,1-3,48000.0,0.5,80.0,0.00036636648707422315,0.0007327329741484463,0.0014654659482968926,0.002198198922445339,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,square,1000.0,1.4577259942378813e-08,0.014577259942378813,1.1231016117108084e-12,1.1231016117108084e-06,0.000699708477234183,225.0,0.0,0-3,9.5,4.5,1-3,48000.0,0.5,80.0,0.0001831832509777842,0.0003663665019555684,0.0007327330039111368,0.0010990995058667052,,,,,,,,,,,,,,,,,,,,,,,,
boundary,square,,,,,,,44.75,0.0,0-1,,,,48000.0,0.5,80.0,,,,,sample,,0.1,samples,2.0833333333333334e-06,2.0833333333333335,6.996905073975784,6.996729318173381,2.0833315342995255e-06,2.0833315342995253,2.0832803934465256e-06,2.0833315342995255e-06,2.454763063771108e-05,44.75,0.0,0-1,False,,,,,22,22,0.25
boundary,square,,,,,,,314.25,0.0,0-3,,,,48000.0,0.5,80.0,,,,,phase,2000.0,0.1,rad,7.957747154594769e-06,7.9577471545947684,1.8311661255322438,1.8311273909676495,7.957742067410888e-06,7.957742067410888,7.957571304199483e-06,7.957742067410888e-06,2.1458751736213246e-05,314.25,0.0,0-3,False,,,,,20,20,0.25
boundary,square,,,,,,,44.5,0.0,0-1,,,,48000.0,0.5,80.0,,,,,phase,4000.0,0.1,rad,3.978873577297384e-06,3.9788735772973842,3.66330559661426,3.66330559661426,3.9788724535170595e-06,3.9788724535170594,3.9788724535170595e-06,3.9788724535170595e-06,0.0,44.5,0.0,0-1,False,,,,,21,21,0.25
boundary,square,,,,,,,44.75,0.0,0-1,,,,48000.0,0.5,80.0,,,,,phase,8000.0,0.1,rad,1.989436788648692e-06,1.9894367886486921,7.327153647074138,7.326988969339916,1.989435206062578e-06,1.989435206062578,1.989391984270818e-06,1.989435206062578e-06,2.1725659437450242e-05,44.75,0.0,0-1,False,,,,,22,22,0.25
boundary,square,,,,,,,315.25,0.0,2-3,,,,48000.0,0.5,80.0,,,,,phase,12000.0,0.1,rad,1.3262911924324613e-06,1.3262911924324612,10.990791214615298,10.990776683992994,1.3262906791844517e-06,1.3262906791844518,1.3262883003711053e-06,1.3262906791844517e-06,1.793583702068832e-06,315.25,0.0,2-3,False,,,,,23,23,0.25
distance_sweep,tetrahedral,0.5,4.281831913747732e-05,42.81831913747732,8.273542703340648e-06,8.273542703340649,2.0552793185989113,308.0,31.5,0-2,84.5,0.5,0-1,48000.0,0.5,80.0,0.538070867365448,1.076141734730896,2.152283469461792,3.2284252041926877,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,tetrahedral,1.0,2.1069284080039085e-05,21.069284080039086,2.0631910319411986e-06,2.063191031941199,1.011325635841876,306.5,30.5,0-2,2.5,0.0,0-2,48000.0,0.5,80.0,0.26476443232898866,0.5295288646579773,1.0590577293159547,1.588586593973932,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,tetrahedral,2.0,1.0428730825391892e-05,10.428730825391892,5.154858504861221e-07,0.515485850486122,0.5005790796188108,135.0,44.5,1-2,178.5,0.0,0-2,48000.0,0.5,80.0,0.13105129658926634,0.2621025931785327,0.5242051863570654,0.786307779535598,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,tetrahedral,5.0,4.143162178086625e-06,4.143162178086625,8.246411849384405e-08,0.08246411849384405,0.198871784548158,305.5,30.0,0-2,0.5,0.0,0-2,48000.0,0.5,80.0,0.0520645114452321,0.1041290228904642,0.2082580457809284,0.3123870686713926,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,tetrahedral,10.0,2.06661427857598e-06,2.06661427857598,2.061503201478132e-08,0.02061503201478132,0.09919748537164705,305.5,30.0,0-2,0.5,0.0,0-2,48000.0,0.5,80.0,0.025969840941512275,0.05193968188302455,0.1038793637660491,0.15581904564907365,,,,,,,,,,,,,,,,,,,,,,,,
distance_sweep,tetrahedral,20.0,1.0320466769623573e-06,1.0320466769623573,5.1538072975976235e-09,0.0051538072975976235,0.04953824049419315,135.0,45.0,1-2,0.0,0.0,0-2,48000.0,0.5,80.0,0.012969081034026799,0.025938162068053598,0.051876324136107196,0.0778144862041608,,,,,,,,,,,,,,,,,,,,,,,,
